Datetime,Water Level (m)
2023-08-26 18:00:00,-0.06267505
2023-08-26 19:00:00,-0.17608035
2023-08-26 20:00:00,-0.20408072
2023-08-26 21:00:00,-0.114395894
2023-08-26 22:00:00,0.15567379
2023-08-26 23:00:00,0.45995566
2023-08-27 00:00:00,0.73639536
2023-08-27 01:00:00,0.9472294
2023-08-27 02:00:00,1.0500147
2023-08-27 03:00:00,1.0520769
2023-08-27 04:00:00,0.9549679
2023-08-27 05:00:00,0.7574268
2023-08-27 06:00:00,0.5117496
2023-08-27 07:00:00,0.30699137
2023-08-27 08:00:00,0.17335598
2023-08-27 09:00:00,0.09725448
2023-08-27 10:00:00,0.08346134
2023-08-27 11:00:00,0.16576765
2023-08-27 12:00:00,0.4045613
2023-08-27 13:00:00,0.66150767
2023-08-27 14:00:00,0.83050257
2023-08-27 15:00:00,0.8851038
2023-08-27 16:00:00,0.8085858
2023-08-27 17:00:00,0.59138834
2023-08-27 18:00:00,0.31636602
2023-08-27 19:00:00,0.08362444
2023-08-27 20:00:00,-0.09844281
2023-08-27 21:00:00,-0.21767855
2023-08-27 22:00:00,-0.25073144
2023-08-27 23:00:00,-0.076465204
2023-08-28 00:00:00,0.40858716
2023-08-28 01:00:00,0.79799366
2023-08-28 02:00:00,1.1127744
2023-08-28 03:00:00,1.2922963
2023-08-28 04:00:00,1.3211802
2023-08-28 05:00:00,1.2163043
2023-08-28 06:00:00,0.9530762
2023-08-28 07:00:00,0.61393195
2023-08-28 08:00:00,0.34478083
2023-08-28 09:00:00,0.13680351
2023-08-28 10:00:00,-0.01347947
2023-08-28 11:00:00,-0.09047041
2023-08-28 12:00:00,-0.023975737
2023-08-28 13:00:00,0.40354633
2023-08-28 14:00:00,0.7899278
2023-08-28 15:00:00,1.048315
2023-08-28 16:00:00,1.1576445
2023-08-28 17:00:00,1.0618411
2023-08-28 18:00:00,0.77108836
2023-08-28 19:00:00,0.4269971
2023-08-28 20:00:00,0.14576711
2023-08-28 21:00:00,-0.07068722
2023-08-28 22:00:00,-0.22826223
2023-08-28 23:00:00,-0.32049337
2023-08-29 00:00:00,-0.23062651
2023-08-29 01:00:00,0.3472034
2023-08-29 02:00:00,0.8380541
2023-08-29 03:00:00,1.2399971
2023-08-29 04:00:00,1.4762765
2023-08-29 05:00:00,1.4903189
2023-08-29 06:00:00,1.3240142
2023-08-29 07:00:00,0.97428924
2023-08-29 08:00:00,0.59960884
2023-08-29 09:00:00,0.31238538
2023-08-29 10:00:00,0.08532983
2023-08-29 11:00:00,-0.08575686
2023-08-29 12:00:00,-0.19596298
2023-08-29 13:00:00,-0.13074921
2023-08-29 14:00:00,0.44513828
2023-08-29 15:00:00,0.9063669
2023-08-29 16:00:00,1.2415844
2023-08-29 17:00:00,1.3841561
2023-08-29 18:00:00,1.2395276
2023-08-29 19:00:00,0.87229335
2023-08-29 20:00:00,0.46878636
2023-08-29 21:00:00,0.1659842
2023-08-29 22:00:00,-0.071100675
2023-08-29 23:00:00,-0.24631041
2023-08-30 00:00:00,-0.35861236
2023-08-30 01:00:00,-0.2773899
2023-08-30 02:00:00,0.4060433
2023-08-30 03:00:00,0.9596539
2023-08-30 04:00:00,1.4170924
2023-08-30 05:00:00,1.6743838
2023-08-30 06:00:00,1.6487788
2023-08-30 07:00:00,1.402914
2023-08-30 08:00:00,0.9320587
2023-08-30 09:00:00,0.5592316
2023-08-30 10:00:00,0.263887
2023-08-30 11:00:00,0.025451114
2023-08-30 12:00:00,-0.15331437
2023-08-30 13:00:00,-0.26664907
2023-08-30 14:00:00,-0.09654756
2023-08-30 15:00:00,0.61782146
2023-08-30 16:00:00,1.1023779
2023-08-30 17:00:00,1.4596802
2023-08-30 18:00:00,1.5529971
2023-08-30 19:00:00,1.3559558
2023-08-30 20:00:00,0.9123806
2023-08-30 21:00:00,0.4866223
2023-08-30 22:00:00,0.17738217
2023-08-30 23:00:00,-0.07048368
2023-08-31 00:00:00,-0.25157416
2023-08-31 01:00:00,-0.3730362
2023-08-31 02:00:00,-0.25002253
2023-08-31 03:00:00,0.5505001
2023-08-31 04:00:00,1.1214665
2023-08-31 05:00:00,1.5922446
2023-08-31 06:00:00,1.7970307
2023-08-31 07:00:00,1.7050788
2023-08-31 08:00:00,1.3124595
2023-08-31 09:00:00,0.8054935
2023-08-31 10:00:00,0.46552667
2023-08-31 11:00:00,0.18588783
2023-08-31 12:00:00,-0.04310617
2023-08-31 13:00:00,-0.21497723
2023-08-31 14:00:00,-0.3145743
2023-08-31 15:00:00,0.07584275
2023-08-31 16:00:00,0.78861266
2023-08-31 17:00:00,1.3002443
2023-08-31 18:00:00,1.6427331
2023-08-31 19:00:00,1.6561263
2023-08-31 20:00:00,1.362617
2023-08-31 21:00:00,0.833709
2023-08-31 22:00:00,0.4468302
2023-08-31 23:00:00,0.15665479
2023-09-01 00:00:00,-0.08548124
2023-09-01 01:00:00,-0.25872543
2023-09-01 02:00:00,-0.36606762
2023-09-01 03:00:00,-0.0518509
2023-09-01 04:00:00,0.73385847
2023-09-01 05:00:00,1.2915359
2023-09-01 06:00:00,1.7283462
2023-09-01 07:00:00,1.8421407
2023-09-01 08:00:00,1.6467111
2023-09-01 09:00:00,1.1542406
2023-09-01 10:00:00,0.68869895
2023-09-01 11:00:00,0.38328394
